BAS_MGT_SN,CTP_KOR_NM,SIG_CD,SIG_KOR_NM,BAS_ID,BAS_AR,NTFC_DE,MVMN_DE,MVMN_RESN,OPERT_DE
1111000192,서울특별시,11110,종로구,03118,0.031037,20121221,,,
1111000193,서울특별시,11110,종로구,03051,0.158054,20121221,,,
1111000197,서울특별시,11110,종로구,03114,0.05108,20121221,,,
1114000075,서울특별시,11140,중구,04562,0.07407,20121221,,,
1114000076,서울특별시,11140,중구,04563,0.077709,20121221,,,
1114000077,서울특별시,11140,중구,04595,0.272646,20121221,,,
1114000078,서울특별시,11140,중구,04596,0.033199,20121221,,,
1114000121,서울특별시,11140,중구,04585,0.087458,20121221,,,
1114000122,서울특별시,11140,중구,04580,0.044606,20121221,,,
1114000123,서울특별시,11140,중구,04579,0.035505,20121221,,,
1111000058,서울특별시,11110,종로구,03016,0.136607,20121221,,,
1111000059,서울특별시,11110,종로구,03012,0.189389,20121221,,,
1111000060,서울특별시,11110,종로구,03021,0.236216,20121221,,,
1111000061,서울특별시,11110,종로구,03054,0.042818,20121221,,,
1111000125,서울특별시,11110,종로구,03189,0.043008,20121221,,,
1111000126,서울특별시,11110,종로구,03067,0.095651,20121221,,,
1111000127,서울특별시,11110,종로구,03078,0.02718,20121221,,,
1111000128,서울특별시,11110,종로구,03077,0.027778,20121221,,,
1111000129,서울특별시,11110,종로구,03101,0.026718,20121221,,,
1111000130,서울특별시,11110,종로구,03087,0.080545,20121221,,,
1111000195,서울특별시,11110,종로구,03023,0.49721,20121221,,,
1114000079,서울특별시,11140,중구,04597,0.074571,20121221,,,
1114000080,서울특별시,11140,중구,04601,0.037324,20121221,,,
1114000081,서울특별시,11140,중구,04600,0.034338,20121221,,,
1114000124,서울특별시,11140,중구,04577,0.0334,20121221,,,
1114000125,서울특별시,11140,중구,04578,0.042503,20121221,,,
1114000126,서울특별시,11140,중구,04570,0.048705,20121221,,,
1111000062,서울특별시,11110,종로구,03025,0.066151,20121221,,,
1111000063,서울특별시,11110,종로구,03027,0.197011,20121221,,,
1111000064,서울특별시,11110,종로구,03028,0.045589,20121221,,,
1111000065,서울특별시,11110,종로구,03167,0.028386,20121221,,,
1111000131,서울특별시,11110,종로구,03088,0.124935,20121221,,,
1111000132,서울특별시,11110,종로구,03100,0.050363,20121221,,,
