"고유번호","시군구코드","도로위계기능구분","작업일시","도로구간일련번호","위도","경도"
"31901","11440","4"," ","1146","37.5629061","126.9230726"
"31902","11440","4","20090119","1140","37.5632709","126.923712"
"31904","11440","4"," ","1918","37.5615785","126.9253404"
"31905","11440","4"," ","3267","37.5614787","126.9255431"
"32206","11410","4"," ","914","37.5710548","126.9363795"
"32208","11410","3"," ","1071","37.576956","126.931001"
"32209","11410","4"," ","1165","37.5779309","126.9125576"
"32211","11410","4"," ","876","37.5934504","126.9472708"
"32213","11410","3"," ","3318","37.5923743","126.9462208"
"32214","11410","3"," ","3317","37.5921861","126.9457172"
"32216","11410","4"," ","973","37.5924306","126.9458418"
"32218","11170","4","20101124","94","37.5331875","126.9996956"
"32221","11410","4"," ","1049","37.5606952","126.933091"
"32223","11410","4"," ","186","37.5597","126.9333853"
"32225","11410","4"," ","2902","37.5600635","126.9585375"
"32226","11410","4"," ","42","37.5863563","126.9257278"
"32230","11410"," "," ","0","37.5569911","126.9532574"
"32231","11410"," "," ","0","37.5569814","126.9544814"
"32233","11410"," "," ","0","37.5565913","126.9385973"
"32234","11410","4"," ","582","37.5566707","126.9393078"
"32236","11410","4"," ","428","37.5811731","126.9103817"
"32238","11410","4"," ","855","37.5805882","126.910609"
"32239","11410","4"," ","1041","37.5803735","126.9105632"
"32242","11440","3"," ","3508","37.5463435","126.9095393"
"32245","11170","3"," ","1899","37.5536784","126.9782399"
"32249","11440","4"," ","1354","37.545969","126.9151465"
"32251","11440","4"," ","1453","37.5461968","126.9449742"
"32255","11440","4","20090128","1192","37.5575408","126.9078759"
"32256","11440","3","20080312","1073","37.5516335","126.920652"
"32573","11560"," "," ","0","37.5017158","126.9179534"
"32574","11560"," "," ","0","37.5019307","126.9182229"
"32575","11560"," "," ","0","37.5036494","126.9204692"
"32577","11560"," "," ","0","37.50339","126.919776"
"32578","11560"," "," ","0","37.5027418","126.9201879"
"32580","11560"," "," ","0","37.5030853","126.9187418"
"32583","11410","4"," ","1157","37.5589733","126.9357007"
"32585","11170","4"," ","2491","37.550631","126.9669445"
"32587","11410"," "," ","0","37.5800306","126.9139085"
"32589","11410","4"," ","1736","37.5921368","126.9503252"
"32590","11410","4"," ","1845","37.5787068","126.9093003"
"32593","11410","4"," ","1544","37.557887","126.9515193"
"32594","11410","3"," ","134","37.5759823","126.9286713"
"32596","11410","4"," ","677","37.5579012","126.9517202"
"32598","11410","4"," ","515","37.587061","126.9313576"
"32600","11410"," "," ","0","37.5585561","126.9371496"
"32501","11560"," "," ","0","37.4992403","126.912327"
"32504","11560"," "," ","0","37.4990105","126.9152841"
"32506","11560"," "," ","0","37.499212","126.9161228"
